source	target	is_directed	is_stimulation	is_inhibition	consensus_direction	consensus_stimulation	consensus_inhibition	dip_url
Q92786	Q99684	1	0	1	1	0	1	
Q99684	P49918	1	1	0	1	1	0	
Q14145	Q06546	1	0	1	1	0	1	
Q92786	Q92858	1	0	1	1	0	1	
P23771	O15520	1	1	0	1	1	0	
Q9NZI8	Q9Y297	1	1	0	1	1	0	
P23760	Q96NX9	1	1	0	1	1	0	
Q96NX9	P23760	1	1	0	1	1	0	
O94916	P15121	1	1	0	1	1	0	
Q12951	Q06710	1	1	0	1	1	0	
P11487	Q12951	1	1	0	1	1	0	
O94916	P48065	1	1	0	1	1	0	
P31749	O15111	1	1	0	1	1	0	
O94916	P53794	1	1	0	1	1	0	
O15111	P19838	1	1	1	1	1	0	
P19838	O15111	1	1	0	0	0	0	
P27986	P31749	1	1	0	1	1	0	
P31749	P27986	1	0	0	0	0	0	
Q6P1J9	Q9UKF6	1	1	0	1	1	0	
Q92797	Q05048	1	1	0	1	1	0	
P06493	P31350	1	1	1	1	1	1	
P42574	Q9UKV3	1	1	0	1	1	0	
P06493	P38936	1	0	0	0	0	0	
P38936	P06493	1	0	1	1	0	1	
P04637	O43663	1	0	1	1	0	1	
P04637	P18847	1	1	0	1	1	0	
P18847	P04637	1	0	1	0	0	0	
Q13315	Q15554	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102610
Q15554	Q13315	1	0	1	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=102610
P04198	Q14566	1	1	0	1	1	0	
Q00987	Q7LG56	1	0	1	1	0	1	
Q13535	P23025	1	1	0	1	1	0	
P04198	P33991	1	1	0	1	1	0	
P04198	P33992	1	1	0	1	1	0	
P04198	P49736	1	1	0	1	1	0	
P04198	P25205	1	1	0	1	1	0	
Q01094	Q9BXL8	1	1	0	1	1	0	
Q9BXL8	Q01094	1	0	1	0	0	0	
Q9Y5W3	P61073	1	0	1	1	0	1	
P05019	P08069	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10920;http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187156
P08069	P05019	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=10920;http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=187156
P13500	P50281	1	1	0	1	1	0	
P50281	P08253	1	1	0	1	1	0	
P00519	O15350	1	1	0	1	1	0	
P00519	P78527	1	0	1	0	0	0	
P78527	P00519	1	1	0	1	1	0	
P04198	P33993	1	1	0	1	1	0	
P04198	Q9UJA3	1	1	0	1	1	0	
O00327	Q49AN0	1	1	0	1	1	0	
Q49AN0	O00327	1	0	1	1	0	1	
O00327	Q16526	1	1	0	1	1	0	
Q16526	O00327	1	0	1	1	0	1	
Q99743	O15055	1	1	0	1	1	0	
Q99743	O15534	1	1	0	1	1	0	
Q6PL18	P03372	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88034
Q6PL18	Q01094	1	1	0	1	1	0	
Q96RU2	Q9HAW4	1	1	1	1	1	1	
O60260	P24864	1	1	1	1	0	1	
P12004	Q9UNA4	1	1	0	1	1	0	
O60260	Q99719	1	0	1	1	0	1	
P12004	Q9Y253	1	1	0	1	1	0	
P04198	P04637	1	1	0	1	1	0	
Q6PL18	P01106	1	1	0	1	1	0	
Q6PL18	P10275	1	1	0	1	1	0	
Q93009	Q00987	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=185397
Q93009	O15151	1	1	0	1	1	0	
Q04206	P60484	1	0	1	1	0	1	
P28749	Q16254	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40056
Q16254	P28749	1	0	1	1	0	1	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40056
Q08999	Q15329	1	1	0	1	1	0	
Q08999	Q16254	1	1	0	1	1	0	
Q14676	Q12888	1	1	1	1	1	1	
O76064	Q16777	1	1	0	1	1	0	
Q14676	O76064	1	1	0	1	1	0	
O60260	P49792	1	0	1	1	0	1	
O60260	Q9UHX1	1	0	1	1	0	1	
O60260	Q9Y6H5	1	1	1	1	0	1	
Q96SD1	Q13426	1	1	0	1	1	0	
O60260	P35222	1	1	0	1	1	0	
O60260	P05412	1	0	1	1	0	1	
O60260	P0DMV9	1	0	1	1	0	1	
O60260	Q99700	1	0	1	1	0	1	
Q9Y5Z0	P05067	1	1	0	1	1	0	
O60260	P37840	1	1	1	1	0	1	
P05067	P56817	1	1	0	0	0	0	
P56817	P05067	1	1	0	1	1	0	
Q13426	Q96T60	1	1	0	1	1	0	
Q12888	P56524	1	1	0	1	1	0	
O14672	P05067	1	1	0	1	1	0	
P60484	Q70Z35	1	0	1	0	0	0	
Q70Z35	P60484	1	0	1	1	0	1	
Q9BXM7	Q12931	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=58801
P23468	P40763	1	0	1	1	0	1	
P18887	Q96T60	1	1	0	1	1	0	
P04049	P30086	1	0	0	0	0	0	
P30086	P04049	1	1	1	1	1	0	
Q96RU2	Q969H0	1	0	1	1	0	1	
P24941	P01106	1	1	0	1	1	0	
O60381	P01106	1	0	1	1	0	1	
P62913	Q9Y4A5	1	0	1	1	0	1	
Q9Y4A5	P01106	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=56680
P01106	Q9Y219	1	1	0	1	1	0	
Q969H0	P01106	1	1	1	1	0	1	
Q13153	P49023	1	1	0	1	1	0	
P42574	P78527	1	1	1	1	1	0	
P78527	P42574	1	0	0	0	0	0	
P42574	P06396	1	1	1	1	0	1	
Q96Q15	Q92900	1	1	0	1	1	0	
Q13315	Q96RU2	1	1	0	1	1	0	
P45983	P45985	1	0	0	0	0	0	
P45985	P45983	1	1	0	1	1	0	
O75143	O75385	1	1	0	0	0	0	
O75385	O75143	1	1	0	1	1	0	
O75385	Q8TDY2	1	1	0	1	1	0	
Q8TDY2	O75385	1	1	0	0	0	0	
P42345	O75143	1	0	1	1	0	1	
Q9P2Y5	Q9Y371	1	1	0	0	0	0	
Q9Y371	Q9P2Y5	1	1	0	1	1	0	
O75143	Q8TDY2	1	1	0	1	1	0	
P42345	Q8IYT8	1	0	1	1	0	1	
Q14457	Q99570	1	1	0	1	1	0	
P63000	Q13009	1	1	0	0	0	0	
Q13009	P63000	1	1	0	1	1	0	
P01112	Q13009	1	1	0	1	1	0	
Q13009	P01112	1	1	0	0	0	0	
Q9H0Y0	O94817	1	1	0	1	1	0	
P42345	Q8N122	1	1	0	1	1	0	
Q8N122	P42345	1	1	1	0	0	0	
P31749	Q96B36	1	0	1	1	0	1	
P53355	Q96RR4	1	0	1	1	0	1	
P42345	Q9BVC4	1	0	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=86451
Q9BVC4	P42345	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=86451
P53355	Q16659	1	0	1	1	0	1	
Q9P2Y5	Q99570	1	1	0	1	1	0	
O75143	Q8IYT8	1	1	0	0	0	0	
Q8IYT8	O75143	1	1	0	1	1	0	
Q9P2Y5	Q14457	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103355
Q07817	Q14457	1	1	1	0	0	0	
Q14457	Q07817	1	0	0	0	0	0	
Q96B36	Q8N122	1	0	1	1	0	1	
P42345	Q96B36	1	0	1	1	0	1	
Q96B36	P42345	1	0	1	0	0	0	
Q8IYT8	Q8TDY2	1	1	0	1	1	0	
Q8TDY2	Q8IYT8	1	1	0	0	0	0	
Q07820	Q92934	1	1	1	1	1	1	
Q9H0Y0	Q9H1Y0	1	1	0	1	1	0	
O95352	Q9NT62	1	1	0	1	1	0	
P01112	Q9P212	1	1	0	1	1	0	
Q9P212	P01112	1	1	1	0	0	0	
Q16539	Q8IW41	1	1	0	1	1	0	
Q8IW41	Q16539	1	0	0	0	0	0	
Q8IW41	P04637	1	1	0	1	1	0	
Q9H1Y0	Q676U5	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=190434
P04637	Q07820	1	1	1	1	1	1	
Q12983	P10415	1	0	1	1	0	1	
Q07817	Q12983	1	1	0	0	0	0	
Q12983	Q07817	1	0	1	1	0	1	
Q9H2V7	P10415	1	0	1	1	0	1	
Q9H2V7	Q07817	1	0	1	1	0	1	
Q9Y4P1	Q9GZQ8	1	1	1	1	1	0	
P0DP23	P53355	1	1	1	1	1	0	
P53355	P25205	1	1	0	1	1	0	
Q9Y371	Q8NEB9	1	1	0	1	1	0	
P07384	P10415	1	0	1	1	0	1	
P17655	P10415	1	0	1	1	0	1	
P07384	Q07817	1	0	1	1	0	1	
P17655	P55957	1	1	0	1	1	0	
P07384	P55957	1	1	0	1	1	0	
Q13315	Q14839	1	0	0	0	0	0	
P42574	Q13541	1	0	1	1	0	1	
P42574	Q13813	1	1	1	1	0	1	
P42574	Q04637	1	1	1	1	0	1	
P42574	P56945	1	1	1	1	0	1	
P42574	P78344	1	1	1	1	0	1	
P42574	O43432	1	1	1	1	0	1	
P10415	P42574	1	0	1	0	0	0	
P42574	P10415	1	0	1	1	0	1	
P42575	P99999	1	1	0	1	1	0	
P42575	Q9NR28	1	1	0	1	1	0	
P55212	Q14980	1	1	1	1	0	1	
P55212	P08670	1	1	1	1	0	1	
P17655	Q07817	1	0	1	1	0	1	
P42575	O95831	1	1	0	1	1	0	
P42575	Q13546	1	1	0	1	1	0	
Q13546	Q92851	1	1	0	0	0	0	
Q92851	Q13546	1	0	1	1	0	1	
Q92851	P55957	1	1	0	1	1	0	
Q92547	Q13535	1	1	0	1	1	0	
O00141	P56696	1	1	0	1	1	0	
Q15319	P23560	1	1	0	1	1	0	
Q92858	Q15319	1	1	0	1	1	0	
Q15319	Q99684	1	1	0	1	1	0	
Q9UKN7	Q9P202	1	1	0	1	1	0	
P48431	Q92858	1	1	0	1	1	0	
Q92858	Q9BZE3	1	1	0	1	1	0	
Q8WXG9	O43306	1	0	1	1	0	1	
Q02535	Q92858	1	0	1	1	0	1	
Q02363	Q92858	1	0	1	1	0	1	
P46531	Q06710	1	1	0	1	1	0	
P41134	Q92858	1	0	1	1	0	1	
P15382	P56696	1	1	0	1	1	0	
P46531	Q6ZQN5	1	0	1	1	0	1	
P04628	Q6ZQN5	1	0	1	1	0	1	
Q01094	P38398	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=40189
P58753	Q99836	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=63396
Q15475	Q02962	1	1	0	1	1	0	
Q15475	Q99502	1	0	1	1	0	1	
Q12951	Q15475	1	1	0	1	1	0	
O15530	P05129	1	1	0	1	1	0	
Q15118	P05129	1	1	0	1	1	0	
P78504	P46527	1	1	0	1	1	0	
Q01094	Q15910	1	1	0	1	1	0	
Q14209	P14635	1	1	0	1	1	0	
P04628	P78504	1	1	0	1	1	0	
P04628	P46531	1	1	0	1	1	0	
P46531	P04628	1	1	0	1	1	0	
P46531	Q92858	1	0	1	1	0	1	
P04628	P56178	1	1	0	1	1	0	
Q15319	P20783	1	1	0	1	1	0	
P46531	Q5TA89	1	1	0	1	1	0	
P46531	P48431	1	1	0	1	1	0	
P46531	P12644	1	1	0	1	1	0	
P01106	P15531	1	1	0	1	1	0	
P11234	Q15311	1	1	0	1	1	0	
Q12967	P11233	1	1	0	1	1	0	
Q15311	P60953	1	1	1	1	0	1	
Q15311	P63000	1	1	1	1	0	1	
P04628	P52951	1	1	0	1	1	0	
P04628	Q02962	1	1	0	1	1	0	
P04628	Q06710	1	1	0	1	1	0	
P04628	Q14469	1	1	0	1	1	0	
P46531	P78504	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88348
P78504	P46531	1	1	1	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=88348
P46531	Q14469	1	1	0	1	1	0	
P04628	P48436	1	1	0	1	1	0	
P10721	P62993	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=400
Q15475	P12644	1	1	0	1	1	0	
Q15475	O15520	1	1	0	1	1	0	
Q15475	P11487	1	1	0	1	1	0	
Q99502	P11487	1	1	0	1	1	0	
P56696	P58743	1	1	0	1	1	0	
P22612	P56696	1	1	0	1	1	0	
Q15475	P23771	1	1	0	1	1	0	
Q14164	Q92985	1	1	0	1	1	0	
P04626	P62993	1	1	0	1	1	0	
Q01094	P12004	1	1	0	1	1	0	
P31751	P38936	1	1	1	1	0	1	
P31749	P46527	1	1	1	1	0	1	
P11473	P42574	1	1	0	1	1	0	
Q9NS91	O43502	1	1	0	1	1	0	
P05129	P04049	1	1	0	1	1	0	
Q8N474	P56705	1	1	1	1	1	0	
Q96HF1	P04628	1	0	1	1	0	1	
Q13394	Q13461	1	1	0	1	1	0	
P26367	P19022	1	1	0	1	1	0	
P26367	Q8TF72	1	1	0	1	1	0	
Q8N474	P09544	1	0	1	1	0	1	
Q8N474	P04628	1	1	1	1	1	0	
P55347	P26367	1	1	0	1	1	0	
P26367	Q96HF1	1	1	0	1	1	0	
P26367	Q8N474	1	1	0	1	1	0	
P26367	P02751	1	1	0	1	1	0	
P26367	Q13394	1	1	0	1	1	0	
P42574	Q13490	1	0	1	0	0	0	
Q13490	P42574	1	0	1	1	0	1	
P42575	P55957	1	1	0	1	1	0	
P42574	P42575	1	1	0	1	1	0	
Q07820	Q96PG8	1	0	1	0	0	0	
Q96PG8	Q07820	1	0	1	1	0	1	
Q07820	Q16611	1	0	1	1	0	1	
P55211	Q9NR09	1	0	1	0	0	0	
Q9NR09	P55211	1	0	1	1	0	1	
Q13794	Q96IK5	1	0	1	1	0	1	
O43521	Q07820	1	0	1	0	0	0	
Q07820	O43521	1	0	1	1	0	1	
P12830	O15143	1	1	0	1	1	0	
P42345	O75385	1	0	1	1	0	1	
P42345	Q15382	1	0	0	0	0	0	
Q15382	P42345	1	1	0	1	1	0	
P49815	Q15382	1	1	1	1	0	1	
P49815	Q92574	1	1	1	1	1	0	
Q92574	P49815	1	1	0	0	0	0	
O95352	Q9GZQ8	1	1	0	1	1	0	
P61586	O60610	1	1	0	1	1	0	
P31749	P49815	1	0	1	1	0	1	
Q13794	Q07820	1	0	1	1	0	1	
P61586	O75116	1	1	0	1	1	0	
O95352	Q9H0Y0	1	1	0	1	1	0	
O94817	O95352	1	1	0	0	0	0	
O95352	O94817	1	1	0	1	1	0	
O94817	Q9H1Y0	1	1	0	1	1	0	
Q9GZQ8	Q9NT62	1	1	0	0	0	0	
Q9NT62	Q9GZQ8	1	1	0	1	1	0	
Q96RR4	P54619	1	1	0	1	1	0	
Q12778	Q86UR1	1	1	0	1	1	0	
O75461	Q99708	1	0	1	1	0	1	
P42574	Q14980	1	1	1	1	0	1	
Q92843	Q13323	1	0	1	1	0	1	
P63167	O43521	1	0	1	1	0	1	
O15519	Q92851	1	0	1	1	0	1	
P55210	P08670	1	1	1	1	0	1	
P55210	P19438	1	1	1	1	0	1	
P55210	P16144	1	1	1	1	0	1	
P42574	P08670	1	1	1	1	0	1	
P42574	Q14790	1	1	0	0	0	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103141
Q14790	P42574	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=103141
P42574	Q92851	1	1	0	0	0	0	
Q92851	P42574	1	1	0	1	1	0	
P42574	P49023	1	0	1	1	0	1	
P62136	Q92934	1	1	0	1	1	0	
P42574	Q05397	1	0	1	1	0	1	
O43521	Q16548	1	0	1	1	0	1	
Q07817	O14727	1	1	1	1	0	1	
O43521	P21796	1	1	0	1	1	0	
Q07817	P21796	1	0	1	1	0	1	
Q16611	P21796	1	1	0	1	1	0	
Q07812	P21796	1	1	0	1	1	0	
P04637	P53355	1	1	0	0	0	0	
P53355	P04637	1	1	0	1	1	0	
O43293	P40429	1	1	1	1	1	1	
Q8N726	Q07817	1	0	1	1	0	1	
Q15796	P53355	1	1	0	1	1	0	
Q8IZJ1	Q9Y5P8	1	1	0	1	1	0	
Q15382	Q9BVC4	1	1	0	1	1	0	
Q9BSB4	O75143	1	1	0	1	1	0	http://dip.doe-mbi.ucla.edu/dip/DIPview.cgi?IK=195804
Q13794	Q07812	1	1	0	1	1	0	
P41743	Q92934	1	0	1	1	0	1	
P45983	P10415	1	1	1	1	0	1	
P53355	Q15139	1	1	0	1	1	0	
P53355	Q86YT6	1	0	0	0	0	0	
Q86YT6	P53355	1	0	1	1	0	1	
P53355	Q14457	1	1	1	1	1	0	
P53355	Q16623	1	0	1	1	0	1	
P53355	P62753	1	0	1	1	0	1	
Q96PG8	Q16548	1	0	1	1	0	1	
Q96PG8	Q07812	1	1	0	1	1	0	
O00198	Q07817	1	0	1	1	0	1	
O00198	P10415	1	0	1	1	0	1	
Q15382	Q14318	1	0	1	1	0	1	
Q14318	P42345	1	0	1	1	0	1	
Q13794	Q16548	1	0	1	1	0	1	
Q05513	Q13158	1	1	1	1	0	1	
Q9HB75	P42575	1	1	0	1	1	0	
Q9HB75	Q9Y6K9	1	1	0	1	1	0	
Q9HB75	Q13158	1	0	0	0	0	0	
Q9HB75	Q8WXG6	1	0	0	0	0	0	
P51812	Q8N122	1	1	0	1	1	0	
P25445	Q9UKL3	1	1	0	1	1	0	
Q15418	Q8N122	1	1	0	1	1	0	
Q14790	Q9UKL3	1	1	0	0	0	0	
Q9UKL3	Q14790	1	1	0	1	1	0	
P27361	Q02750	1	1	1	0	0	0	
Q02750	P27361	1	1	0	1	1	0	
P27361	P51812	1	1	0	1	1	0	
P51812	P27361	1	0	0	0	0	0	
P28482	Q15418	1	1	0	1	1	0	
Q15418	P28482	1	1	0	0	0	0	
O43293	P24844	1	1	0	1	1	0	
P28482	P51812	1	1	0	1	1	0	
P51812	P28482	1	0	0	0	0	0	
P28482	P53355	1	1	0	1	1	0	
P53355	P28482	1	0	1	0	0	0	
P12931	P53355	1	0	1	1	0	1	
P10586	P53355	1	1	0	1	1	0	
O43293	P53355	1	0	0	0	0	0	
P53355	O43293	1	1	0	1	1	0	
P53355	P49815	1	1	1	1	0	1	
P27361	P53355	1	1	0	1	1	0	
P53355	P27361	1	0	1	0	0	0	
P07900	P53355	1	1	0	1	1	0	
Q92859	P53355	1	1	0	1	1	0	
